index,prediction
0,36.0 inch
1,42.0 centimeter
2,200.0 centimeter
3,42.0 centimeter
4,90.0 centimeter
5,90.0 centimeter
6,90.0 centimeter
7,13516.0 None
8,15.0 centimeter
9,40.0 centimeter
10,
11,41.6 centimeter
12,4.3 inch
13,10.0 centimeter
14,4.3 inch
15,
16,
17,
18,
19,240.0 volt
20,120.0 centimeter
21,
22,2.0 ounce
23,185.0 centimeter
24,185.0 centimeter
25,3.8 inch
26,3.8 inch
27,320.0 gram
28,9.5 kilogram
29,2.62 pound
30,
31,
32,5.8 inch
33,14.0 centimeter
34,14.0 centimeter
35,
36,5.7 meter
37,
38,
39,120.0 centimeter
40,47.2 inch
41,
42,48.0 inch
43,96.0 inch
44,17.7 inch
45,14.0 centimeter
46,5.8 inch
47,5.8 inch
48,90.0 centimeter
49,120.0 centimeter
50,120.0 centimeter
51,
52,
53,12.5 centimeter
54,12.5 centimeter
55,96.52 centimeter
56,
57,90.0 centimeter
58,120.0 centimeter
59,
60,
61,48.0 gram
62,280.0 millimeter
63,280.0 millimeter
64,280.0 millimeter
65,3.7 volt
66,
67,365.8 centimeter
68,4.2 inch
69,4.2 inch
70,10.0 centimeter
71,9.1 inch
72,23.0 centimeter
73,9.1 inch
74,1500.0 watt
75,
76,12.0 centimeter
77,12.0 centimeter
78,
79,120.0 None
80,
81,243.0 pound
82,5.05 kilogram
83,10.0 ounce
84,39.0 inch
85,98.0 centimeter
86,98.0 centimeter
87,
88,
89,
90,26.0 centimeter
91,90.7 kilogram
92,19.7 millimeter
93,
94,
95,12.5 centimeter
96,4.92 inch
97,9.6 volt
98,80.0 centimeter
99,14.9 inch
100,15.0 inch
101,59.0 millilitre
102,
103,86.0 centimeter
104,35.0 centimeter
105,16.0 centimeter
106,16.0 centimeter
107,60.0 centimeter
108,
109,40.0 centimeter
110,80.0 centimeter
111,
112,1650.0 watt
113,
114,
115,500.0 watt
116,30.0 gram
117,
118,45.0 centimeter
119,3.9 inch
120,
121,31.0 centimeter
122,250.0 gram
123,660.0 pound
124,
125,
126,12.0 volt
127,129.0 centimeter
128,90.0 centimeter
129,
130,40.0 centimeter
131,25.6 inch
132,65.0 centimeter
133,25.6 inch
134,50.0 pound
135,2.9 centimeter
136,2.9 centimeter
137,18.5 centimeter
138,25.65 centimeter
139,0.45 inch
140,100.0 millimeter
141,3.4 centimeter
142,208.3 centimeter
143,208.3 centimeter
144,3.9 inch
145,10.0 centimeter
146,10.0 centimeter
147,20.0 ounce
148,50.0 centimeter
149,50.0 centimeter
150,
151,180.0 centimeter
152,7.86 inch
153,3.14 inch
154,5.0 centimeter
155,5.0 centimeter
156,50.0 millimeter
157,
158,
159,
160,13.0 centimeter
161,
162,206.5 centimeter
163,
164,250.0 gram
165,
166,
167,6.0 kilogram
168,35.0 centimeter
169,10.5 centimeter
170,
171,
172,
173,20.0 centimeter
174,7.8 inch
175,14.0 centimeter
176,
177,23.8 inch
178,20.0 pound
179,1.1 inch
180,15.0 centimeter
181,908.0 gram
182,5.0 centimeter
183,
184,
185,
186,2.83 inch
187,2.0 inch
188,28.0 centimeter
189,2.7 inch
190,35.0 ounce
191,40.0 centimeter
192,40.0 centimeter
193,6.2 pound
194,20.0 centimeter
